,query_string_n,count,amount,verif_match,audit_type,match_0_n,match_1_n,match_2_n,score_0_n,score_1_n,score_2_n,match_0_n_lev,match_1_n_lev,match_2_n_lev
0,DR A A ANDERSON AND PARTNERS,134,5612667.0,Named Doctor,1,DR ANDERSON AND DR AHMED,ANDERSON AND PARTNERS,ANDERSON PARTNERS LIMITED,16.853697,16.419127,14.367227999999999,12.0,7.0,19.0
1,DR A A GOULD,15,441305.0,Named Doctor,1,DR GOULD AND ALTIMMAN,DR PJ GOULDING LIMITED,GOULDING AND GOULDING 2016 LIMITED,17.73405,15.76402,12.767602,15.0,14.0,25.0
2,DR A AGGARWAL AND PARTNER,108,3399435.0,Named Doctor,1,DR P AGGARWAL LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,17.858635,13.374683,13.374683,10.0,7.0,10.0
3,DR A AHUJA,7,136429.0,Named Doctor,1,DR SAPNA AHUJA LIMITED,AHUJA AND SON LIMITED,AHUJA BROTHERS LIMITED,18.338982,13.147915,13.147915,12.0,18.0,19.0
4,DR A ALAM AND PARTNER,92,5227932.0,Named Doctor,1,DR AFTAB ALAM BALOCH,ALAM AND ALAM LIMITED,ALAM AND ALAM ACCOUNTANTS LIMITED,16.650123999999998,15.191396,14.009145000000002,13.0,15.0,21.0
5,DR A ALI,41,1231880.0,Named Doctor,1,DR ALI ALI LIMITED,DR ALI SURGERY,DR AKBER ALI LIMITED,17.77589,16.414602,14.591145499999998,10.0,9.0,12.0
6,DR A B ANIS AND PARTNER,81,2908834.0,Named Doctor,1,DR ANIS AND ANIS,ANI PARTNERS LIMITED,4D AESTHETICS BY DR ANI LIMITED,20.839146,15.781023000000001,13.898359,9.0,19.0,22.0
7,DR A B BOLTON AND PARTNERS,270,21061958.0,Named Doctor,1,BOLTON A AND B LIMITED,DR AUTOS BOLTON LIMITED,DR B MODI,14.621466,14.222351000000002,13.587525,18.0,14.0,19.0
8,DR A BAQAI AND PARTNERS,84,3745422.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,3.0,6.0,6.0
9,DR A BORTHWICK AND PARTNERS,68,6917290.0,Named Doctor,1,BORTHWICKS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.028220999999998,13.374683,13.374683,16.0,9.0,9.0
10,DR A C A DEWEEVER AND PARTNERS,87,3934304.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,11.0,12.0,10.0
11,DR A C BOOTH AND PARTNERS,57,2901234.0,Named Doctor,1,BOOTH AND PARTNERS LIMITED,LEE BOOTH PARTNERS LIMITED,C G BOOTH LIMITED,15.269445000000001,13.573201999999998,13.442695,15.0,18.0,15.0
12,DR A C BROOKS AND PARTNERS,138,12240823.0,Named Doctor,1,BROOK PARTNERS LIMITED,BROOKE AND PARTNERS LIMITED,GPSI ORTHOPAEDICS DR BROOK,13.68685,13.68685,13.580757,20.0,16.0,23.0
13,DR A C W KENYON AND PARTNERS,40,4101859.0,Named Doctor,1,C AND W PARTNERS LIMITED,DR C W BERGH LIMITED,KENYON AND KENYON LIMITED,16.192028,15.846073,14.905804000000002,20.0,17.0,19.0
14,DR A CALOW AND PARTNERS,92,4347942.0,Named Doctor,1,DR A CALOWS PRACTICE,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,20.686493,13.374683,13.374683,10.0,4.0,6.0
15,DR A CARUANA,3,86561.0,Named Doctor,1,CARUANA LIMITED,CARUANA AND SONS LIMITED,CARUANA BROTHERS LIMITED,16.029503,14.026295000000001,14.026295000000001,12.0,20.0,20.0
16,DR A COLLETT AND PARTNERS,64,2973323.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,7.0,7.0,7.0
17,DR A D CRESSWELL AND PTRS,67,4422792.0,Named Doctor,1,DR INGRAM AND PTRS,JORDAN PTRS LIMITED,PTRS HOLDINGS LIMITED,21.96968,14.486792999999999,14.486792999999999,12.0,20.0,22.0
18,DR A D GREIG,16,633305.0,Named Doctor,1,DR J GREIG AND PARTNERS,D R GREIG LIMITED,DR D AND DR A GUPTA LIMITED,16.610939000000002,15.100271,13.273816,15.0,12.0,18.0
19,DR A D LITTLER,2,71021.0,Named Doctor,1,DR A LITTLER,DR D AND DR A GUPTA LIMITED,CLAIRE LITTLER LIMITED,22.552937,13.273816,12.251605999999999,2.0,17.0,14.0
20,DR A D MONE AND PARTNERS,63,2384925.0,Named Doctor,1,MONE LIMITED,MONEE LIMITED,MONELY LIMITED,14.525209,14.525209,14.525209,17.0,18.0,18.0
